FPR,TPR,Organism,Species,Abundance,Dominance,Read Length,Software
0,0.9,OB,S10,A1000000,D1,R300,PathoScope2
0,0.9,OB,S10,A1000000,D1,R75,PathoScope2
0.00238663,0.5,OB,S10,A1000000,D1,R1000,Sigma
0.00238663,0.571429,OB,S10,A1000000,D1,R150,Sigma
0.00238663,0.5,OB,S10,A1000000,D1,R300,Sigma
0.00238663,0.7,OB,S10,A1000000,D1,R75,Sigma
0.0455635,0.875,OB,S10,A1000000,D1,R1000,Taxator-tk
0.0455635,0.833333,OB,S10,A1000000,D1,R150,Taxator-tk
0.0455635,0.875,OB,S10,A1000000,D1,R300,Taxator-tk
0.0455635,0.5,OB,S10,A1000000,D1,R75,Taxator-tk
0.117225,0.833333,OB,S10,A1000000,D10,R1000,Centrifuge
0.117225,0.833333,OB,S10,A1000000,D10,R150,Centrifuge
0.115108,0.857143,OB,S10,A1000000,D10,R300,Centrifuge
0.115108,0.875,OB,S10,A1000000,D10,R75,Centrifuge
0.00714286,0.545455,OB,S10,A1000000,D10,R1000,Constrains
0.00714286,0.545455,OB,S10,A1000000,D10,R150,Constrains
0.00714286,0.545455,OB,S10,A1000000,D10,R300,Constrains
0.00714286,0.545455,OB,S10,A1000000,D10,R75,Constrains
0.0071599,0.714286,OB,S10,A1000000,D10,R1000,Kraken
0.0071599,0.714286,OB,S10,A1000000,D10,R150,Kraken
0.00478469,0.75,OB,S10,A1000000,D10,R300,Kraken
0.0071599,0.714286,OB,S10,A1000000,D10,R75,Kraken
0.00714286,0.75,OB,S10,A1000000,D10,R1000,MetaMix*
0.00239234,0.8,OB,S10,A1000000,D10,R150,MetaMix*
0.00714286,0.75,OB,S10,A1000000,D10,R300,MetaMix*
0.00239234,0.8,OB,S10,A1000000,D10,R75,MetaMix*
0.00950119,0.444444,OB,S10,A1000000,D10,R1000,MetaPhlan2
0.0118483,0.375,OB,S10,A1000000,D10,R150,MetaPhlan2
0.0118483,0.375,OB,S10,A1000000,D10,R300,MetaPhlan2
0.0118483,0.375,OB,S10,A1000000,D10,R75,MetaPhlan2
0.00956938,0.888889,OB,S10,A1000000,D10,R1000,PathoScope2
0.00956938,0.888889,OB,S10,A1000000,D10,R150,PathoScope2
0.00719424,0.9,OB,S10,A1000000,D10,R300,PathoScope2
0.00956938,0.888889,OB,S10,A1000000,D10,R75,PathoScope2
0.0142857,0.428571,OB,S10,A1000000,D10,R1000,Sigma
0.0142857,0.6,OB,S10,A1000000,D10,R150,Sigma
0.0142857,0.428571,OB,S10,A1000000,D10,R300,Sigma
0.0142857,0.6,OB,S10,A1000000,D10,R75,Sigma
0.0526316,0.857143,OB,S10,A1000000,D10,R1000,Taxator-tk
0.0526316,0.833333,OB,S10,A1000000,D10,R150,Taxator-tk
0.0503597,0.875,OB,S10,A1000000,D10,R300,Taxator-tk
0.0526316,0.666667,OB,S10,A1000000,D10,R75,Taxator-tk
0.107656,0.75,OB,S10,A1000000,D50,R1000,Centrifuge
0.107656,0.75,OB,S10,A1000000,D50,R150,Centrifuge
0.107656,0.75,OB,S10,A1000000,D50,R300,Centrifuge
0.107656,0.777778,OB,S10,A1000000,D50,R75,Centrifuge
0.0119332,0.6,OB,S10,A1000000,D50,R1000,Constrains
0.0119332,0.6,OB,S10,A1000000,D50,R150,Constrains
0.0119332,0.636364,OB,S10,A1000000,D50,R300,Constrains
0.0119332,0.6,OB,S10,A1000000,D50,R75,Constrains
0.00477327,0.625,OB,S10,A1000000,D50,R1000,Kraken
0.00477327,0.625,OB,S10,A1000000,D50,R150,Kraken
0.00477327,0.625,OB,S10,A1000000,D50,R300,Kraken
0.00477327,0.625,OB,S10,A1000000,D50,R75,Kraken
